Região;Local;Longitude;Latitude;Referências;;;;;;;;;
América do Sul;    serra dourada/go; -50.07;-15.57;Roque F. and Tidon R. (2008), Eight new records of drosophil ... ;;;;;;;;;
América do Sul;    coroico;-67.45;-16.09 ;Duda O. (1927), Die sudamerikanischen Drosophi ... ;;;;;;;;;
América do Sul;    serra do cipo/mg;-43,35;-16,16;Tidon-Sklorz et al., 1994;;;;;;;;;
América do Sul;    grao mogol;-42.50;-16.32;Tidon-Sklorz R. and de Melo Sene F. (1995), Fauna of Drosophila (Diptera, ... ;;;;;;;;;
América do Sul;    grao mogol/mg;-42.50;-16.32;Tidon-Sklorz R. and de Melo Sene F. (1995), Fauna of Drosophila (Diptera, ... ;;;;;;;;;
América do Sul;    paracatu/mg; -46.52;-17.14 ;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ... ;;;;;;;;;
América do Sul;Paracatu;-47,16;-17,24;Chaves N.B. and Tidon R. (2008);;;;;;;;;
América do Sul;Paracatu;-47,2;-17,29;Chaves N.B. and Tidon R. (2008);;;;;;;;;
América do Sul;    catalao/go;-47.38;-17.33;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ... ;;;;;;;;;
América do Sul;Paracatu;-47,09;-17,33;Chaves N.B. and Tidon R. (2008);;;;;;;;;
América do Sul;Paracatu;-47,08;-17,34;Chaves N.B. and Tidon R. (2008);;;;;;;;;
América do Sul;    catalao/go;-47,28;-17,38;Chaves N.B. and Tidon R. (2008);;;;;;;;;
América do Sul;    santa cruz/bolivia;-63.14;-17.45;Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ... ;;;;;;;;;
América do Sul;    san ernesto/bolivia;-60.00;-18.00;Duda O. (1927), Die sudamerikanischen Drosophi ... ;;;;;;;;;
América do Sul;    emas/go;-52.53;-18.15;Roque F. and Tidon R. (2008), Eight new records of drosophil ... ;;;;;;;;;
América do Sul;    camarones; -70.20;-18.30 ;Brncic D. (1987), A review of the genus Drosophi ... ;;;;;;;;;
América do Sul;    serra do cipo/mg;-43.40;-19.00;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ... ;;;;;;;;;
América do Sul;    serra do cipo/mg;-43,37;-19,16;Tidon-Sklorz et al., 1994;;;;;;;;;
América do Sul;    serra do cipo;-43.35;-19.17;Tidon-Sklorz R. et al. (1994), The genus Drosophila (Diptera, ... ;;;;;;;;;
América do Sul;    serra do cipo;-43.35;-19.17 ;Vilela C.R. and Mori L. (1999), The genus Drosophila (Diptera, ... ;;;;;;;;;
América do Sul;    serra do cipo/mg;-43,34;-19,17;Tidon-Sklorz et al., 1994;;;;;;;;;
América do Sul;    serra do cipo/mg;-43,33;-19,17;Tidon-Sklorz et al., 1994;;;;;;;;;
América do Sul;    serra do cipo/mg;-43,33;-19,17;Vilela & Mori, 1999;;;;;;;;;
América do Sul;    serra do cipo/mg;-43,36;-19,18;Tidon-Sklorz et al., 1994;;;;;;;;;
América do Sul;    serra do cipo/mg;-43,34;-19,18;Tidon-Sklorz et al., 1994;;;;;;;;;
América do Sul;    serra do cipo/mg;-43,33;-19,2;Vilela & Mori, 1999;;;;;;;;;
América do Sul;    serra do cipo/mg;-43,38;-19,21;Tidon-Sklorz et al., 1994;;;;;;;;;
América do Sul;    serra do cipo/mg;-43,38;-19,21;Vilela & Mori, 1999;;;;;;;;;
América do Sul;Paracatu;-47,15;-19,29;Chaves N.B. and Tidon R. (2008);;;;;;;;;
América do Sul;    lagoa santa/mg;-43.55;-19.39;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ... ;;;;;;;;;
América do Sul;    lagoa santa/mg;-43.55;-19.39;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    miranda/mg;-56,46;-20,05;Vilela C.R. et al. (2002);;;;;;;;;
América do Sul;    miranda/mg; -56.19;-20.10 ;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    campo grande/ms; -54.34;-20.41;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ... ;;;;;;;;;
América do Sul;    campo grande/ms;-54.34;-20.41;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    olimpia; -48.55;-20.43;Pires D.J. and Belo M. (2005), Flies collected in orchards. ... ;;;;;;;;;
