Região;Local;Longitude;Latitude;Referência;;;;;;;;;
América do Sul;    buenaventura/colombia;-77,02;3,54; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    palmira;-76,17;3,33; da Cunha A.B. et al. (1959); Genetics of natural population ...;;;;;;;;
América do Sul;    palmira;-76,17;3,33; Krimbas C.B. (1959); Comparison of the concealed va ...;;;;;;;;
América do Sul;    palmira;-76,17;3,33; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    macarena;-74,3;3; Hoenigsberg H.F. et al. (1973); The Drosophila willistoni grou ...;;;;;;;;
América do Sul;    macarena;-74,3;3; Hoenigsberg H.F. et al. (1977); Poblacion genetica en el tropi ...;;;;;;;;
América do Sul;    macarena;-74,3;3; Hoenigsberg H.F. et al. (1977); Population genetics in the Ame ...;;;;;;;;
América do Sul;    macarena;-74,3;3; Hoenigsberg H.F. et al. (1982); Population genetics in the Ame ...;;;;;;;;
América do Sul;    macarena;-74,3;3; Hoenigsberg H.F. et al. (1983); Population genetics in the Ame ...;;;;;;;;
América do Sul;    kanuku mountains;-59,3;3; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    la macarena;-73,57;2,03; Ayala F.J. (1970); Competition Coexistence and ...;;;;;;;;
América do Sul;    la macarena;-73,57;2,03; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    la macarena;-73,57;2,03; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    mucajai;-67;2; da Cunha A.B. and Dobzhansky T. (1954); A further study of chromosomal ...;;;;;;;;
América do Sul;    mucajai;-67;2; da Cunha A.B. et al. (1959); Genetics of natural population ...;;;;;;;;
América do Sul;    mucajai;-67;2; Dobzhansky T. et al. (1950); A comparative study of chromos ...;;;;;;;;
América do Sul;    mucajai;-67;2; Pavan C. and Knapp E.N. (1954); The genetic population structu ...;;;;;;;;
América do Sul;    mucajai;-67;2; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    tracajatuba;-50;2; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    tracajatuba;-50;2; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    mitu;-70,05;1,07; Ayala F.J. (1970); Competition Coexistence and ...;;;;;;;;
América do Sul;    mitu;-70,05;1,07; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    mitu;-70,05;1,07; Hoenigsberg H.F. et al. (1973); The Drosophila willistoni grou ...;;;;;;;;
América do Sul;    mitu;-70,05;1,07; Perez-Salas S. (1970); Consideraciones geneticas sobr ...;;;;;;;;
América do Sul;    mitu;-70,05;1,07; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    ocamo;-73;1; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    ocamo;-73;1; Perez-Salas S. (1970); Consideraciones geneticas sobr ...;;;;;;;;
