region,site,longitude,latitude,ref
North America,teziutlan/pue,-97.22,19.49, Heed W.B. and Russell J.S. (1971)
North America,teziutlan/pue,-97.22,19.49, Kambysellis M.P. (1968)
North America,teziutlan/pue,-97.22,19.49, Throckmorton L.H. (1962)
North America,teziutlan/pue,-97.22,19.49, Yoon J.S. (1984)
North America,teziutlan/pue,-97.22,19.49, Yoon J.S. (1990)
North America,teziutlan/pue,-97.22,19.49, Yoon Z. (1996)
North America,cordoba/vcr,-96.55,18.55, Patterson J.T. and Mainland G.B. (1944)
North America,oaxaca/oxa,-96.44,17.02, Stalker H.D. (1953)
North America,oaxaca city,-96.41,17.05, Heed W.B. and Russell J.S. (1971)
North America,puente nacional/vcr,-96.3,19.3, Patterson J.T. and Mainland G.B. (1944)
North America,veracruz/vcr,-96.1,19.11, Gallo A.J. and Salceda V.M. (1974)
North America,tehuantepec/oxa,-95.13,16.21, Heed W.B. and Russell J.S. (1971)
North America,minatitlan/vcr,-94.32,17.59, Heed W.B. and Russell J.S. (1971)
North America,jalapa/vcr,-92.48,17.45, Patterson J.T. and Mainland G.B. (1944)
North America,merida/mex,-89.39,20.59, Heed W.B. and Russell J.S. (1971)
North America,merida/mex,-89.39,20.59, Yoon J.S. (1984)
North America,hammock,-85.01,30.27, Heed W.B. and Russell J.S. (1971)
North America,lexington/ky,-84.3,38.02, Dawson W.D. (1960)
North America,homestead/fl,-82.44,31.02, Heed W.B. and Russell J.S. (1971)
North America,homestead/fl,-82.44,31.02, Yoon J.S. (1984)
North America,saint petersburg/fl,-82.4,27.45, Stalker H.D. (1953)
North America,tampa/fl,-82.38,27.58, Sturtevant A.H. (1921)
North America,withlacoochee/fl,-82.3,29, Patterson J.T. and Wagner R.P. (1943)
North America,don pedro/fl,-82.16,24.3, Simunovic A. and Jaenike J. (2006)
North America,myakka/fl,-82.16,27.19, Patterson J.T. and Wagner R.P. (1943)
North America,myakka head/fl,-82.15,27.2, Dudgeon E. (1954)
North America,myakka head/fl,-82.15,27.2, Stalker H.D. (1953)
North America,lakeland/fl,-81.59,28.02, Sturtevant A.H. (1921)
North America,collier/fl,-81.35,25.59, Patterson J.T. and Wagner R.P. (1943)
North America,avon park/fl,-81.3,27.36, Patterson J.T. and Wagner R.P. (1943)
North America,florida,-81.3,27.4, Patterson J.T. (1943)
North America,florida,-81.3,27.4, Townsend J.I. and Wheeler M.R. (1955)
North America,everglades park/fl,-81.22,26.52, Dudgeon E. (1954)
North America,everglades/fl,-81.22,26.52, Heed W.B. and Russell J.S. (1971)
North America,everglades/fl,-81.22,26.52, Stalker H.D. (1953)
North America,lake placid/fl,-81.22,27.18, Stalker H.D. (1953)
North America,orlando/fl,-81.21,28.33, Patterson J.T. and Wagner R.P. (1943)
North America,orlando/fl,-81.21,28.33, Sturtevant A.H. (1921)
