species,region,site,longitude,latitude,ref
simulans,Asia,jabalpur,79.59,23.1, Das A. et al. (1995)
simulans,Asia,guangzhou,113.2,23.08, Xu S.-H. et al. (2003)
simulans,Asia,nanning,108.19,22.5, Xu S.-H. et al. (2003)
simulans,Asia,midnapur,80,22.4, Das A. et al. (1995)
simulans,Asia,takao,120.17,22.38, Watada M. et al. (1986)
simulans,Asia,itarsi,77.48,22.3, Das A. et al. (1995)
simulans,Asia,balasore,86.59,21.31, Das A. et al. (1995)
simulans,Asia,bhubaneswar,85.5,20.13, Das A. et al. (1995)
simulans,Asia,ondi,85.5,20.1, Das A. et al. (1995)
simulans,Asia,hainan,110,19, Xu S.-H. et al. (2003)
simulans,Asia,fort cochin,72.5,18.56, Das A. et al. (1995)
simulans,Asia,bombay,72.51,18.56, Das A. et al. (1995)
simulans,Central America,honduras,-87,15, Carracedo M.C. et al. (2000)
simulans,Central America,el salvador,-88.55,14.45, Carson H.L. (1965)
simulans,Central America,guatemala,-90.22,14.38, del Puerto G.A. and Chihara C.J. (1988)
simulans,Africa,dakar,-17.27,14.38, Lachaise D. et al. (1988)
simulans,Central America,zamorana,-87.01,14.01, del Puerto G.A. and Chihara C.J. (1988)
simulans,Asia,tirupati,79.25,13.39, Das A. et al. (1995)
simulans,Asia,madras,80.18,13.05, Das A. et al. (1995)
simulans,Asia,bangalore,77.35,12.58, Das A. et al. (1995)
simulans,Africa,ziguinchor,-16.2,12.35, David J. et al. (1974)
simulans,Asia,mysore,76.37,12.18, Das A. et al. (1995)
simulans,South America,santa marta/colombia,-74.1,11.18, Hoenigsberg H.F. (1995)
simulans,Central America,goofy lake,-80,11, Pipkin S.B. (1965)
simulans,Africa,ataye,40,11, Lachaise D. and Tsacas L. (1983)
simulans,South America,guayabita,-67.29,10.15, Cova Garcia P. and Suarez O.M. (1962)
simulans,Central America,la selva,-85,10, Turelli M. and Hoffmann A.A. (1995)
simulans,Africa,ethiopia,40,10, Baba-Aissa F. et al. (1988)
simulans,Asia,ernakulam,76.16,10, Das A. et al. (1995)
simulans,Central America,san jose/cr,-84.04,9.59, Jutier D. et al. (2004)
simulans,Central America,fort sherman,-79.57,9.21, Pipkin S.B. (1965)
simulans,Central America,almirante,-82.22,9.2, Pipkin S.B. (1965)
simulans,Africa,harar,42.1,9.2, Carson H.L. and Wasserman M. (1965)
simulans,Central America,frijoles,-79.48,9.11, Pipkin S.B. (1965)
simulans,Central America,barro colorado,-79.5,9.08, Pipkin S.B. (1965)
simulans,Central America,panama,-79,9, Baba-Aissa F. et al. (1988)
simulans,Central America,camaron,-79.34,8.59, Pipkin S.B. (1965)
simulans,Central America,capira,-79.51,8.48, Pipkin S.B. (1965)
simulans,Central America,taboga/panama,-79.33,8.47, Sturtevant A.H. (1921)
simulans,Central America,el volcan/panama,-82.4,8.45, Pipkin S.B. (1965)
simulans,Central America,el valle/panama,-80.08,8.36, Pipkin S.B. (1965)
simulans,Asia,trivandrum,76.57,8.3, Das A. et al. (1995)
simulans,Central America,cerro campana,-81.17,8.26, Pipkin S.B. (1965)
simulans,Central America,el real/panama,-77.42,8.06, Pipkin S.B. (1965)
simulans,Asia,kanniyakumari,77.35,8.04, Das A. et al. (1995)
simulans,South America,georgetown/guyana,-58.1,6.46, Biemont C. et al. (2003)
simulans,Africa,lagos/nigeria,3.28,6.27, Lachaise D. et al. (1988)
simulans,South America,bartica,-58.38,6.24, Sturtevant A.H. (1929)
simulans,Africa,lamto,-5.15,6.2, Lachaise D. and Tsacas L. (1974)
simulans,South America,christianberg,-58,6, Pipkin S.B. and Hewitt N.E. (1972)
simulans,Africa,mbengwi,9.56,5.58, Kopp A. et al. (2006)
simulans,Africa,adiopodoume,-4.08,5.19, Lachaise D. and Tsacas L. (1983)
simulans,Africa,abidjan,-4.01,5.19, Lachaise D. et al. (1988)
simulans,South America,guyana,-58,5, Carracedo M.C. et al. (2000)
simulans,South America,cayenne,-52.18,4.55, Baba-Aissa F. et al. (1988)
simulans,South America,bogota,-74.05,4.48, Beardmore J.A. (1973)
simulans,Asia,garat,127.04,4.46, Periquet G. (1981)
simulans,South America,fusagasuga,-74.21,4.22, Ashburner M. and Leumeunier F. (1976)
